"TRAN_ID","FUND","TRAN_TYPE","INVST_TYP","ASSET","QTY","PRICE","SENDER_ID","CCY","TRADE_DATE","SETTLE_DATE","TRAN_CODE","LOC","MSG_TYP","INVEST_MANAGER","PROCESS_GROUP"
"FTT0CE646E","TP16","Security","41","DUMMY","24","12.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE6682","TP16","Security","41","DUMMY","25","13","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSEGSHR","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE6939","TP16","Security","41","DUMMY","26","13.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE6A61","TP16","Security","41","DUMMY","27","14","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47D990","TP16","Security","41","DUMMY","28","14.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSEGSHR","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT120C935","HGG1","Security","41","DUMMY","29","15","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47DC44","HGG1","Security","41","DUMMY","30","15.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47D9A8","HGG1","Security","41","DUMMY","31","16","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE80EF","HGG1","Security","41","DUMMY","32","16.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE8178","HGG1","Security","41","DUMMY","33","17","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE81C5","HGG1","Security","41","DUMMY","34","17.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47D9D5","HGG1","Security","41","DUMMY","35","18","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE8238","HGG1","Security","41","DUMMY","36","18.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE8286","HGG1","Security","41","DUMMY","37","19","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE82AB","HGG1","Security","41","DUMMY","38","19.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE82F9","HGG1","Security","41","DUMMY","39","20","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE8372","HGG1","Security","41","DUMMY","40","20.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE8413","HGG1","Security","41","DUMMY","41","21","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE848C","HGG1","Security","41","DUMMY","42","21.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47DA1F","HGG1","Security","41","DUMMY","43","22","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE85A6","HGG1","Security","41","DUMMY","44","22.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE8616","HGG1","Security","41","DUMMY","45","23","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHOW5JB","MTX1","3P FX","41","DUMMY","46","23.5","FAXSENDER","USD","2018-09-25","2018-09-25","3PRTYFX","FED","MT304","BLACKROCK","IMPTCLGTPMTEX"
"FTT0CE8686","HGG1","Security","41","DUMMY","47","24","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE86D1","HGG1","Security","41","DUMMY","48","24.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47DA51","HGG1","Security","41","DUMMY","49","25","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE8794","HGG1","Security","41","DUMMY","50","25.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE8804","HGG1","Security","41","DUMMY","51","26","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE8874","HGG1","Security","41","DUMMY","52","26.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE88E5","HGG1","Security","41","DUMMY","53","27","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE89A3","HGG1","Security","41","DUMMY","54","27.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE8ADA","HGG1","Security","41","DUMMY","55","28","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47DAC3","HGG1","Security","41","DUMMY","56","28.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE8C01","HGG1","Security","41","DUMMY","57","29","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHPUFWQ","TSM2","Security","41","DUMMY","58","29.5","FAXSENDER","USD","2018-09-26","2018-09-26","BUY","DTC","MT541","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE90B2","HGG1","3P FX","41","DUMMY","59","30","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47DB5D","TP16","Security","41","DUMMY","60","30.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CE91C1","TP16","Security","41","DUMMY","61","31","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSEGSHR","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"B47DDD5","HGG1","Security","41","DUMMY","62","31.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47DE48","HGG1","Security","41","DUMMY","63","32","FAXSENDER","USD","2018-04-18","2018-04-18","SELL","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47DEBB","HGG1","Security","41","DUMMY","64","32.5","FAXSENDER","USD","2018-04-18","2018-04-18","SELL","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT120C98E","HGG1","Security","41","DUMMY","65","33","FAXSENDER","USD","2018-04-18","2018-04-18","SELL","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47DFCA","HGG1","Security","41","DUMMY","66","33.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47E038","HGG1","Security","41","DUMMY","67","34","FAXSENDER","USD","2018-04-18","2018-04-18","SELL","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHQLXD7","MTX1","3P FX","41","DUMMY","68","34.5","FAXSENDER","USD","2018-09-25","2018-09-25","3PRTYFX","FED","MT304","BLACKROCK","IMPTCLGTPMTEX"
"FTT0CEA5BA","HGG1","Security","41","DUMMY","69","35","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEA629","HGG1","Security","41","DUMMY","70","35.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEA6F4","HGG1","Security","41","DUMMY","71","36","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEA760","HGG1","Security","41","DUMMY","72","36.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEA7AB","HGG1","Security","41","DUMMY","73","37","FAXSENDER","USD","2018-04-18","2018-04-18","SELL","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEA7FA","HGG1","Security","41","DUMMY","74","37.5","FAXSENDER","USD","2018-04-18","2018-04-18","SELL","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"0CEA820","HGG1","Security","41","DUMMY","75","38","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEA87A","HGG1","Security","41","DUMMY","76","38.5","FAXSENDER","USD","2018-04-18","2018-04-18","SELL","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEA8C9","HGG1","Security","41","DUMMY","77","39","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEAA13","HGG1","Security","41","DUMMY","78","39.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEAB2A","HGG1","Security","41","DUMMY","79","40","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47DE06","HGG1","Security","41","DUMMY","80","40.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEACAB","HGG1","Security","41","DUMMY","81","41","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEAE65","HGG1","Security","41","DUMMY","82","41.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEAF71","HGG1","Security","41","DUMMY","83","42","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"0CEAFEB","HGG1","Security","41","DUMMY","84","42.5","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEB0B5","HGG1","Security","41","DUMMY","85","43","FAXSENDER","USD","2018-04-18","2018-04-18","SELL","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEB17F","HGG1","Security","41","DUMMY","86","43.5","FAXSENDER","USD","2018-04-18","2018-04-18","SELL","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEB2A4","HGG1","Security","41","DUMMY","87","44","FAXSENDER","USD","2018-05-28","2018-05-28","FREESELL","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEB79C","TP16","Security","41","DUMMY","88","44.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEB80E","TP16","Security","41","DUMMY","89","45","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CEB88D","TP16","Security","41","DUMMY","90","45.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHS3MNE","MTX1","Security","41","DUMMY","91","46","FAXSENDER","CAD","2018-09-25","2018-09-25","BUY","CAD","MT541","BLACKROCK","IMPFAX1"
"FTTB47BDBE","TP16","Security","41","DUMMY","92","46.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD69A8","TP16","Security","41","DUMMY","93","47","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD69CE","TP16","Security","41","DUMMY","94","47.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47BDE2","TP16","Security","41","DUMMY","95","48","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD6B32","TP16","Security","41","DUMMY","96","48.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD6BB1","TP16","Security","41","DUMMY","97","49","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD6C20","TP16","Security","41","DUMMY","98","49.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTTB47BE17","TP16","Security","41","DUMMY","99","50","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD6CE0","TP16","Security","41","DUMMY","100","50.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT806205E","TP16","Security","41","DUMMY","101","51","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT80620A9","TP16","Security","41","DUMMY","102","51.5","FAXSENDER","USD","2018-04-18","2018-04-18","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD69B7","TP16","Security","41","DUMMY","103","52","FAXSENDER","USD","2018-04-18","2018-04-18","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT806212F","TP16","Security","41","DUMMY","104","52.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD69D8","TP16","Security","41","DUMMY","105","53","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT806229A","TP16","Security","41","DUMMY","106","53.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT806237A","TP16","3P FX","41","DUMMY","107","54","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD6A14","TP16","Security","41","DUMMY","108","54.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT80624F4","TP16","3P FX","41","DUMMY","109","55","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FT5813JMHTA9OS","MTX1","3P FX","41","DUMMY","110","55.5","FAXSENDER","USD","2018-09-25","2018-09-25","3PRTYFX","FED","MT304","BLACKROCK","IMPTCLGTPMTEX"
"FTT0CD6AC9","TP16","Security","41","DUMMY","111","56","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT8062BF9","TP16","Security","41","DUMMY","112","56.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT8062C69","TP16","Security","41","DUMMY","113","57","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT8062CDE","TP16","Security","41","DUMMY","114","57.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT8062DE3","TP16","Security","41","DUMMY","115","58","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT8062ED1","TP16","Security","41","DUMMY","116","58.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT8062F88","TP16","Security","41","DUMMY","117","59","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT8062FD9","TP16","Security","41","DUMMY","118","59.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT80630C5","TP16","Security","41","DUMMY","119","60","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD6B5D","TP16","Security","41","DUMMY","120","60.5","FAXSENDER","USD","2018-04-18","2018-04-18","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT80631D8","TP16","Security","41","DUMMY","121","61","FAXSENDER","USD","2018-04-18","2018-04-18","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT806324E","TP16","Security","41","DUMMY","122","61.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD6B87","TP16","Security","41","DUMMY","123","62","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD6D8C","TP16","Security","41","DUMMY","124","62.5","FAXSENDER","USD","2018-04-18","2018-04-18","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD6E5B","TP16","Security","41","DUMMY","125","63","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT0CD6F41","TP16","Security","41","DUMMY","126","63.5","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT542","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
"FTT8064762","TP16","Security","41","DUMMY","127","64","FAXSENDER","USD","2018-05-28","2018-05-28","COLLSHARES","DTC","MT540","AMERICAN CAPITAL","IMP ATIVO CAPITAL MANAGEMENT"
